,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Bossangoa,CF,6.4926,17.4552,70.16,94,100,0.25,overcast clouds
123,Kang,BW,-23.6752,22.7876,71.28,36,71,11.07,broken clouds
124,Megion,RU,61.0296,76.1136,39.22,96,100,6.85,light rain
125,Butaritari,KI,3.0707,172.7902,83.16,67,76,14.36,broken clouds
126,Gamba,GA,-2.65,10.0,74.89,80,82,6.33,broken clouds
127,Beringovskiy,RU,63.05,179.3167,38.37,80,100,7.65,overcast clouds
128,Yuanping,CN,38.7153,112.7575,52.43,88,49,2.89,scattered clouds
129,Nakamura,JP,32.9833,132.9333,70.2,92,25,3.76,scattered clouds
130,Pangnirtung,CA,66.1451,-65.7125,33.19,76,95,11.16,overcast clouds
131,Kieta,PG,-6.2167,155.6333,81.52,80,95,4.43,light rain
132,New Norfolk,AU,-42.7826,147.0587,47.91,86,79,1.99,broken clouds
133,Alyangula,AU,-13.8483,136.4192,75.58,71,100,9.51,overcast clouds
134,Sorokino,RU,53.75,84.9167,41.92,74,79,9.62,broken clouds
135,Shimoda,JP,34.6667,138.95,71.49,68,2,15.17,clear sky
136,North Bend,US,43.4065,-124.2243,70.25,67,1,9.22,clear sky
137,Belaya Gora,RU,68.5333,146.4167,27.32,71,100,13.04,overcast clouds
138,Fortuna,US,40.5982,-124.1573,73.18,61,60,11.01,broken clouds
139,Opuwo,NA,-18.0607,13.84,68.85,30,0,6.51,clear sky
140,Orange Cove,US,36.6244,-119.3137,86.63,39,1,12.66,clear sky
141,Nikolskoye,RU,59.7035,30.7861,41.02,77,100,8.57,overcast clouds
142,Antofagasta,CL,-23.65,-70.4,58.28,79,36,10.33,scattered clouds
143,Baghdad,IQ,33.3406,44.4009,80.51,32,0,4.61,clear sky
144,Vaitape,PF,-16.5167,-151.75,77.81,76,74,19.22,light rain
145,Golynki,RU,54.8696,31.3861,40.42,96,100,14.81,light rain
146,Blagoyevo,RU,63.3667,47.9167,37.72,72,100,5.93,overcast clouds
147,Florianopolis,BR,-27.6146,-48.5012,68.25,83,75,6.91,broken clouds
148,Sur,OM,22.5667,59.5289,81.9,75,73,13.09,broken clouds
149,Genc,TR,38.7507,40.5603,63.21,44,1,3.09,clear sky
150,Lorengau,PG,-2.0226,147.2712,83.52,73,86,7.9,overcast clouds
151,Bredasdorp,ZA,-34.5322,20.0403,48.27,88,0,6.64,clear sky
152,Salekhard,RU,66.53,66.6019,33.06,78,27,21.14,scattered clouds
153,Esperance,AU,-33.8667,121.9,52.16,65,75,11.05,broken clouds
154,Cape Town,ZA,-33.9258,18.4232,57.11,89,41,1.01,light rain
155,Menongue,AO,-14.6585,17.691,69.28,55,47,5.03,scattered clouds
156,Aplahoue,BJ,6.9333,1.6833,73.63,95,96,5.61,light rain
157,Ribeira Grande,PT,38.5167,-28.7,69.78,66,33,9.71,scattered clouds
158,Dikson,RU,73.5069,80.5464,35.56,77,100,19.84,overcast clouds
159,Vila Velha,BR,-20.3297,-40.2925,76.95,83,75,2.3,broken clouds
160,Kodiak,US,57.79,-152.4072,51.31,76,20,5.75,few clouds
161,Mount Gambier,AU,-37.8333,140.7667,44.51,87,75,23.02,broken clouds
162,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,88,75,4.61,broken clouds
163,Lasa,IT,46.6166,10.7002,54.01,99,100,5.39,overcast clouds
164,Hobart,AU,-42.8794,147.3294,48.25,76,40,3.0,scattered clouds
165,Tipacoque,CO,6.4203,-72.6918,67.44,86,81,1.54,broken clouds
166,Sao Filipe,CV,14.8961,-24.4956,80.06,81,96,12.28,overcast clouds
167,Bogalusa,US,30.791,-89.8487,84.25,70,1,5.75,clear sky
168,Hurghada,EG,27.2574,33.8129,83.93,41,0,9.86,clear sky
169,Sioux Lookout,CA,50.1001,-91.917,79.18,61,75,11.5,broken clouds
170,Bako,ET,5.7833,36.5667,64.09,79,19,3.96,light rain
171,Te Anau,NZ,-45.4167,167.7167,43.41,95,74,7.47,broken clouds
172,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,48.79,100,90,11.18,light intensity shower rain
173,Bubaque,GW,11.2833,-15.8333,81.01,81,100,10.6,moderate rain
174,Tasiilaq,GL,65.6145,-37.6368,35.76,75,84,1.97,broken clouds
175,Coquimbo,CL,-29.9533,-71.3436,58.73,72,20,11.5,few clouds
176,Hilo,US,19.7297,-155.09,84.27,84,90,9.22,moderate rain
177,Guarapari,BR,-20.6667,-40.4975,76.89,91,16,2.95,few clouds
178,Isangel,VU,-19.55,169.2667,73.09,62,32,12.88,scattered clouds
179,Adrar,MR,20.5022,-10.0711,92.86,23,3,19.33,clear sky
180,Holme,DK,56.1138,10.1725,54.3,83,100,8.37,overcast clouds
181,Georgetown,MY,5.4112,100.3354,80.53,97,20,5.75,few clouds
182,Beira,MZ,-19.8436,34.8389,62.69,82,0,6.91,clear sky
183,Ust-Ilimsk,RU,58.0006,102.6619,47.8,82,96,4.0,overcast clouds
184,Eyl,SO,7.9803,49.8164,78.01,76,76,13.13,broken clouds
185,Laguna,US,38.421,-121.4238,82.6,35,1,4.0,clear sky
186,Pacasmayo,PE,-7.4006,-79.5714,65.12,75,49,17.07,scattered clouds
187,Mahibadhoo,MV,3.7833,72.9667,82.15,77,99,6.89,overcast clouds
188,Broome,US,42.2506,-75.833,69.8,54,1,5.75,clear sky
189,Chapais,CA,49.7834,-74.8492,58.78,52,48,5.1,scattered clouds
190,Bengkulu,ID,-3.8004,102.2655,73.47,90,93,2.71,overcast clouds
191,Namatanai,PG,-3.6667,152.4333,81.68,72,71,3.36,broken clouds
192,Cockburn Town,TC,21.4612,-71.1419,82.74,76,51,16.15,broken clouds
193,Sisimiut,GL,66.9395,-53.6735,33.49,59,100,10.0,overcast clouds
194,Alofi,NU,-19.0595,-169.9187,76.75,74,0,2.37,light rain
195,Jamestown,US,42.097,-79.2353,74.52,49,1,4.61,clear sky
196,Kahului,US,20.8947,-156.47,87.82,63,40,23.02,scattered clouds
197,Kempsey,AU,-31.0833,152.8333,63.25,38,0,3.51,clear sky
198,Kysyl-Syr,RU,63.8986,122.7617,28.2,93,84,5.93,broken clouds
199,Batasan,PH,12.7667,120.7833,79.47,81,99,3.67,overcast clouds
200,Malabo,GQ,3.75,8.7833,78.53,87,72,4.12,light rain
201,Deputatskiy,RU,69.3,139.9,18.03,94,98,6.02,overcast clouds
