City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
249,Kamphaeng Phet,TH,76.59,light rain,16.25,99.5,ฟาร์มแพะ หนองผักหนาม
253,Buala,SB,81.57,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
255,Fowa,NG,76.01,broken clouds,8.9167,6.4,
256,Lianzhou,CN,75.24,clear sky,24.7811,112.3825,Qingcheng Tourism Industry
260,Yatou,CN,72.57,moderate rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
265,Honiara,SB,81.5,overcast clouds,-9.4333,159.95,Heritage Park Hotel
266,Hirara,JP,79.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
269,Howard Springs,AU,76.91,broken clouds,-12.497,131.047,buffalo beach hostel
271,Kudahuvadhoo,MV,82.04,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
273,Jacqueville,CI,76.91,clear sky,5.2052,-4.4146,Hotel Le Martin Pecheur
274,Cristalina,BR,75.49,broken clouds,-16.7686,-47.6136,HOTEL TOPAZIO
277,Erzin,TR,75.92,clear sky,36.9559,36.2,Artemis Otel
282,Umreth,IN,80.58,overcast clouds,22.7,73.1167,Adarsh Resort
286,Adeje,ES,73.02,scattered clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
288,Takoradi,GH,75.54,few clouds,4.8845,-1.7554,Raybow International Hotel
289,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
291,San Jose,US,81.64,scattered clouds,37.3394,-121.895,The Westin San Jose
293,Laguna De Perlas,NI,86.09,broken clouds,12.3429,-83.6712,Hotel Best View
294,Mogadishu,SO,77.18,clear sky,2.0371,45.3438,Hotel Juba
297,Tabou,CI,77.85,broken clouds,4.423,-7.3528,hotêl doufoulougou
299,Cayenne,GF,84.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
303,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
304,Manta,EC,82.18,broken clouds,-0.95,-80.7333,Balandra Hotel
305,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
310,Bristol,US,71.15,clear sky,41.8334,-71.1662,
311,Dakar,SN,77.88,few clouds,14.6937,-17.4441,Redface Studios Meublés
317,Biak,ID,75.2,overcast clouds,-0.9131,122.8766,Penginapan Kim
318,Kanniyakumari,IN,79.23,overcast clouds,8.0833,77.5667,Sparsa
320,Tatawin,TN,85.08,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
321,Itarema,BR,78.46,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
322,Mount Isa,AU,78.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
325,Vero Beach,US,86.07,clear sky,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
326,The Valley,AI,80.82,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
327,Lander,US,70.2,few clouds,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
328,San Juan,AR,71.73,clear sky,-31.5375,-68.5364,Hotel Provincial
331,Makakilo City,US,86.32,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
333,Buraydah,SA,86.45,clear sky,26.326,43.975,فندق راحة السلام
336,Peabiru,BR,83.73,scattered clouds,-23.9128,-52.3431,La visa hotel
338,Morant Bay,JM,84.65,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
340,Tagusao,PH,80.11,overcast clouds,9.1924,117.8141,Toledo
346,Lompoc,US,88.79,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
350,Kavaratti,IN,81.45,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
352,Naze,JP,74.32,scattered clouds,28.3667,129.4833,オーベルジュ・アガルイ
353,Bambous Virieux,MU,70.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
