City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Meulaboh,ID,2021-09-19 18:35:05,4.1363,96.1285,73.42,95,100,5.46
89,Kavaratti,IN,2021-09-19 18:35:56,10.5669,72.642,81.7,80,100,12.15
90,Adolfo Ruiz Cortines,MX,2021-09-19 18:36:07,25.75,-108.75,95.04,59,87,1.95
91,Barrow,US,2021-09-19 18:36:08,71.2906,-156.7887,33.82,60,90,21.85
92,Constantine,DZ,2021-09-19 18:36:08,36.365,6.6147,76.41,64,20,6.91
93,Kurilsk,RU,2021-09-19 18:36:08,45.2333,147.8833,53.15,79,100,5.59
94,Albany,US,2021-09-19 18:32:49,42.6001,-73.9662,74.68,52,7,5.68
95,Vaini,TO,2021-09-19 18:36:09,-21.2,-175.2,69.96,88,40,8.05
96,Cabo San Lucas,MX,2021-09-19 18:34:48,22.8909,-109.9124,91.81,71,20,1.99
97,Yulara,AU,2021-09-19 18:36:09,-25.2406,130.9889,64.24,88,98,8.05
98,Chokurdakh,RU,2021-09-19 18:36:09,70.6333,147.9167,23.04,90,89,8.1
99,Valparaiso,CL,2021-09-19 18:36:10,-33.0393,-71.6273,64.04,59,40,9.22
100,Jamestown,US,2021-09-19 18:36:10,42.097,-79.2353,77.02,49,1,5.01
101,Tumut,AU,2021-09-19 18:36:10,-35.3,148.2167,49.19,84,14,2.82
102,Brae,GB,2021-09-19 18:36:10,60.3964,-1.353,55.31,93,100,8.77
103,Gat,IL,2021-09-19 18:36:04,31.61,34.7642,79.48,61,0,6.06
104,Cape Town,ZA,2021-09-19 18:36:11,-33.9258,18.4232,59.11,82,20,1.01
105,Port Alfred,ZA,2021-09-19 18:36:11,-33.5906,26.891,62.82,82,72,11.05
106,Moron,AR,2021-09-19 18:33:09,-34.6534,-58.6198,66.09,90,100,4.0
107,Lebu,CL,2021-09-19 18:36:12,-37.6167,-73.65,53.31,65,2,16.93
108,Tual,ID,2021-09-19 18:36:12,-5.6667,132.75,79.7,82,98,19.73
109,Lasa,IT,2021-09-19 18:36:01,46.6166,10.7002,58.08,98,100,5.93
110,Yellowknife,CA,2021-09-19 18:36:12,62.456,-114.3525,45.12,81,75,9.22
111,Tommot,RU,2021-09-19 18:36:13,58.9564,126.2925,37.45,96,95,4.32
112,Saint George,US,2021-09-19 18:36:13,37.1041,-113.5841,88.63,37,1,1.01
113,Chuy,UY,2021-09-19 18:34:53,-33.6971,-53.4616,64.35,89,100,9.84
114,Katsuura,JP,2021-09-19 18:36:13,35.1333,140.3,68.11,78,80,13.71
115,Muros,ES,2021-09-19 18:35:47,42.7762,-9.0603,68.23,72,33,10.83
116,Campos,BR,2021-09-19 18:36:14,-21.75,-41.3,82.45,61,0,13.8
117,Urumqi,CN,2021-09-19 18:36:14,43.801,87.6005,74.35,25,0,11.18
118,Corinto,GR,2021-09-19 18:36:14,37.9407,22.9573,83.75,68,0,1.01
119,Samarai,PG,2021-09-19 18:34:56,-10.6167,150.6667,78.35,88,100,15.57
120,Jatai,BR,2021-09-19 18:36:15,-17.8814,-51.7144,97.63,11,63,12.73
121,Sibolga,ID,2021-09-19 18:36:15,1.7427,98.7792,74.14,88,100,2.39
122,Castelo Do Piaui,BR,2021-09-19 18:36:16,-5.3222,-41.5525,103.03,18,86,2.91
123,Lompoc,US,2021-09-19 18:36:16,34.6391,-120.4579,84.22,62,1,13.8
124,Vila Franca Do Campo,PT,2021-09-19 18:36:16,37.7167,-25.4333,72.01,66,72,9.69
125,Portland,US,2021-09-19 18:32:55,45.5234,-122.6762,64.15,84,75,1.99
126,Bengkulu,ID,2021-09-19 18:36:16,-3.8004,102.2655,73.92,90,90,3.83
127,Kashi,CN,2021-09-19 18:36:17,39.4547,75.9797,79.27,22,0,11.18
128,Ahmadpur East,PK,2021-09-19 18:36:17,29.1431,71.2598,95.83,36,91,9.31
129,Pangnirtung,CA,2021-09-19 18:36:17,66.1451,-65.7125,37.4,60,75,13.8
130,Mnogovershinnyy,RU,2021-09-19 18:36:18,53.9353,139.9242,36.57,82,1,7.47
131,Hasaki,JP,2021-09-19 18:36:18,35.7333,140.8333,63.0,70,95,16.93
132,Iquitos,PE,2021-09-19 18:34:57,-3.7481,-73.2472,95.04,49,75,4.61
133,Campo De Criptana,ES,2021-09-19 18:36:18,39.4046,-3.1249,68.25,27,0,7.14
134,Provost,CA,2021-09-19 18:36:19,52.3501,-110.2683,63.05,31,6,11.12
135,Cidreira,BR,2021-09-19 18:36:19,-30.1811,-50.2056,69.24,88,64,15.14
136,Tessalit,ML,2021-09-19 18:36:20,20.1986,1.0114,97.21,9,0,8.84
137,Basco,PH,2021-09-19 18:33:25,20.4487,121.9702,83.84,79,100,12.03
138,Rafaela,AR,2021-09-19 18:36:20,-31.2503,-61.4867,80.01,44,100,4.0
139,Dimbokro,CI,2021-09-19 18:36:20,6.6451,-4.7048,74.93,96,22,2.98
140,Saint-Philippe,RE,2021-09-19 18:36:20,-21.3585,55.7679,65.79,67,9,8.28
141,Kaitangata,NZ,2021-09-19 18:34:30,-46.2817,169.8464,38.57,93,76,5.61
142,Kavieng,PG,2021-09-19 18:34:48,-2.5744,150.7967,81.43,77,17,10.2
143,Chingirlau,KZ,2021-09-19 18:36:21,51.095,54.0814,43.18,46,32,3.89
144,Bubaque,GW,2021-09-19 18:33:33,11.2833,-15.8333,81.72,78,100,8.59
145,Charters Towers,AU,2021-09-19 18:33:03,-20.1,146.2667,58.05,91,5,6.58
146,East London,ZA,2021-09-19 18:36:21,-33.0153,27.9116,64.45,77,35,14.43
147,Asfi,MA,2021-09-19 18:36:22,32.2994,-9.2372,70.52,77,93,13.4
148,Batsfjord,NO,2021-09-19 18:36:22,70.6345,29.7185,46.33,74,100,18.23
149,Chapais,CA,2021-09-19 18:36:22,49.7834,-74.8492,56.98,42,99,5.68
150,Tigre,AR,2021-09-19 18:36:23,-34.426,-58.5796,66.34,88,90,9.22
151,Esperance,AU,2021-09-19 18:36:23,-33.8667,121.9,51.64,58,92,11.92
152,Luderitz,NA,2021-09-19 18:36:23,-26.6481,15.1594,56.35,83,0,8.39
153,Naze,JP,2021-09-19 18:33:25,28.3667,129.4833,74.46,76,85,3.87
154,Norman Wells,CA,2021-09-19 18:35:59,65.282,-126.8329,44.64,93,75,4.61
155,Caravelas,BR,2021-09-19 18:36:24,-17.7125,-39.2481,78.84,59,21,9.98
156,Padang,ID,2021-09-19 18:31:40,-0.9492,100.3543,74.52,84,99,2.57
157,Mosquera,CO,2021-09-19 18:36:24,4.7059,-74.2302,64.49,55,75,4.61
158,Kadoma,JP,2021-09-19 18:36:24,34.7333,135.5833,73.38,75,25,2.53
159,Matara,LK,2021-09-19 18:36:10,5.9485,80.5353,78.76,90,80,7.34
160,Talnakh,RU,2021-09-19 18:36:06,69.4865,88.3972,37.98,97,100,1.72
161,Romny,UA,2021-09-19 18:36:25,50.751,33.4747,54.59,94,100,2.91
162,Nang Rong,TH,2021-09-19 18:36:25,14.6377,102.7914,74.8,88,100,4.21
163,Asyut,EG,2021-09-19 18:36:25,27.181,31.1837,89.78,19,0,9.1
164,Tiksi,RU,2021-09-19 18:36:25,71.6872,128.8694,33.93,74,100,19.53
165,Port Blair,IN,2021-09-19 18:36:26,11.6667,92.75,80.22,84,100,3.6
166,Tuatapere,NZ,2021-09-19 18:36:26,-46.1333,167.6833,37.81,92,58,6.78
167,Iwanai,JP,2021-09-19 18:36:26,42.9744,140.5089,59.25,74,100,0.54
168,Pevek,RU,2021-09-19 18:36:27,69.7008,170.3133,30.85,76,100,9.55
169,San Quintin,MX,2021-09-19 18:35:07,30.4833,-115.95,71.96,67,0,16.24
170,Smithers,CA,2021-09-19 18:36:27,54.7804,-127.1743,46.72,87,75,5.75
171,Kasongo,CD,2021-09-19 18:36:27,-4.45,26.6667,73.89,72,68,2.82
